trip_date,bike_number,start_latitude,start_longitude,start_time,end_latitude,end_longitude,end_time,duration,date,distance,segments
2024-11-06,386000,50.585716,8.657575,2024-11-06T16:59:01,50.585137,8.671877,2024-11-06T17:09:01,599.577577,2024-11-06,1388.001,"[[50.5857015, 8.6573483], [50.5858347, 8.6574215], [50.5856923, 8.6586107], [50.5856963, 8.6589493], [50.5857521, 8.6597368], [50.585731, 8.6616083], [50.5855677, 8.6646907], [50.5855309, 8.6647345], [50.5855032, 8.6646448], [50.5854415, 8.6649078], [50.5854183, 8.6650029], [50.5852263, 8.6655047], [50.584753, 8.6677186], [50.5847717, 8.6678464], [50.5850224, 8.6679114], [50.585262, 8.6679815], [50.5852457, 8.6689252], [50.58518, 8.6695912], [50.5854655, 8.6701342], [50.5855671, 8.6703632], [50.585719, 8.6705088], [50.5857932, 8.6706718], [50.5858343, 8.6707378], [50.5860021, 8.6709432], [50.5864279, 8.6714676], [50.5863419, 8.6716365], [50.5861324, 8.6720525], [50.5859622, 8.6724152], [50.5855692, 8.6716571], [50.5854673, 8.6713926], [50.5850526, 8.6718473]]"
2024-11-06,386000,50.585137,8.671877,2024-11-06T18:28:02,50.564109,8.677573,2024-11-06T18:42:01,839.275743,2024-11-06,2888.6049999999996,"[[50.5850526, 8.6718473], [50.5849066, 8.6715423], [50.5847366, 8.6718143], [50.5843352, 8.6722414], [50.5838416, 8.6728754], [50.5837984, 8.6728146], [50.5836982, 8.6726699], [50.5834755, 8.6723483], [50.5833419, 8.6721326], [50.5828912, 8.6714375], [50.5822685, 8.6705084], [50.5820813, 8.6702388], [50.5820088, 8.6700682], [50.581829, 8.6698466], [50.5815249, 8.6694719], [50.5812435, 8.6691226], [50.5807719, 8.6685297], [50.5802769, 8.6679503], [50.5802118, 8.6678734], [50.5799332, 8.6675459], [50.5795674, 8.6671019], [50.5795006, 8.6670208], [50.5794084, 8.6669121], [50.5790917, 8.66755], [50.5788755, 8.6679803], [50.578798, 8.6681293], [50.5782996, 8.6690968], [50.5781032, 8.6694859], [50.577998, 8.6696876], [50.5773547, 8.6709852], [50.5766146, 8.6698446], [50.5764514, 8.6700739], [50.5762906, 8.6702596], [50.5754761, 8.6707024], [50.574729, 8.6712463], [50.5745404, 8.6714577], [50.5744028, 8.6716131], [50.5741115, 8.6719421], [50.5739407, 8.6721367], [50.5737727, 8.6723377], [50.5736739, 8.6724786], [50.5736099, 8.6725653], [50.5735242, 8.6726936], [50.5733994, 8.6728801], [50.5732985, 8.6730178], [50.5730716, 8.6732978], [50.5724787, 8.6739003], [50.5709771, 8.6748607], [50.5708953, 8.6749198], [50.5707632, 8.6750089], [50.5702633, 8.6753283], [50.5698252, 8.6755242], [50.5695424, 8.675718], [50.5690461, 8.6759269], [50.5687826, 8.6760281], [50.5682293, 8.67626], [50.568147, 8.6762945], [50.5679878, 8.6763623], [50.5666904, 8.6768904], [50.5665641, 8.6769437], [50.5657675, 8.6772797], [50.5655747, 8.6773652], [50.5654365, 8.6774224], [50.5652576, 8.6775039], [50.5652081, 8.6775259], [50.5648226, 8.6777362], [50.5646543, 8.6778297], [50.5644554, 8.677376], [50.5641104, 8.6777644]]"
2024-11-06,386000,50.564109,8.677573,2024-11-06T21:53:01,50.57596,8.683096,2024-11-06T22:01:01,479.88746,2024-11-06,1852.0510000000004,"[[50.5641104, 8.6777644], [50.5644554, 8.677376], [50.5646543, 8.6778297], [50.5648226, 8.6777362], [50.5652081, 8.6775259], [50.5652576, 8.6775039], [50.5654365, 8.6774224], [50.5655747, 8.6773652], [50.5657675, 8.6772797], [50.5665641, 8.6769437], [50.5666904, 8.6768904], [50.5679878, 8.6763623], [50.568147, 8.6762945], [50.5682293, 8.67626], [50.5687826, 8.6760281], [50.5690461, 8.6759269], [50.5695424, 8.675718], [50.5698503, 8.6756377], [50.5702633, 8.6753283], [50.570433, 8.6761456], [50.5704697, 8.6763396], [50.570515, 8.6765754], [50.5708046, 8.6778189], [50.5710572, 8.678307], [50.571474, 8.6791054], [50.5715506, 8.6792531], [50.5717272, 8.6795868], [50.5723685, 8.6806094], [50.572828, 8.6807705], [50.5727959, 8.6818741], [50.5728766, 8.6823431], [50.5730795, 8.6821907], [50.5734504, 8.6819037], [50.5738511, 8.6825921], [50.5739511, 8.6828778], [50.5741124, 8.6827453], [50.574525, 8.6827763], [50.5746908, 8.6835047], [50.5747308, 8.68363], [50.5749585, 8.6840467], [50.5750512, 8.6842135], [50.5754478, 8.6837274], [50.5755152, 8.6836446], [50.5756334, 8.6834994], [50.5760171, 8.6830278]]"
2024-11-06,386000,50.57596,8.683096,2024-11-06T22:01:01,50.575951,8.683109,2024-11-06T22:02:01,60.500958,2024-11-06,0.0,"[[50.5760171, 8.6830278]]"
2024-11-06,386000,50.575951,8.683109,2024-11-06T22:02:01,50.57596,8.68312,2024-11-06T22:03:01,59.542472,2024-11-06,0.0,"[[50.5760171, 8.6830278]]"
2024-11-06,386000,50.57596,8.68312,2024-11-06T22:49:01,50.564109,8.677573,2024-11-06T22:59:02,600.642885,2024-11-06,1851.1569999999997,"[[50.5760171, 8.6830278], [50.5756334, 8.6834994], [50.5755152, 8.6836446], [50.5754478, 8.6837274], [50.5750512, 8.6842135], [50.5749585, 8.6840467], [50.5747308, 8.68363], [50.5746908, 8.6835047], [50.574525, 8.6827763], [50.5741124, 8.6827453], [50.5739511, 8.6828778], [50.5738511, 8.6825921], [50.5734504, 8.6819037], [50.5730795, 8.6821907], [50.5728766, 8.6823431], [50.5727959, 8.6818741], [50.572828, 8.6807705], [50.5723685, 8.6806094], [50.5717272, 8.6795868], [50.5715506, 8.6792531], [50.571474, 8.6791054], [50.5710572, 8.678307], [50.5708046, 8.6778189], [50.570515, 8.6765754], [50.5704697, 8.6763396], [50.570433, 8.6761456], [50.5702633, 8.6753283], [50.5698252, 8.6755242], [50.5695424, 8.675718], [50.5690461, 8.6759269], [50.5687826, 8.6760281], [50.5682293, 8.67626], [50.568147, 8.6762945], [50.5679878, 8.6763623], [50.5666904, 8.6768904], [50.5665641, 8.6769437], [50.5657675, 8.6772797], [50.5655747, 8.6773652], [50.5654365, 8.6774224], [50.5652576, 8.6775039], [50.5652081, 8.6775259], [50.5648226, 8.6777362], [50.5646543, 8.6778297], [50.5644554, 8.677376], [50.5641104, 8.6777644]]"
2024-11-06,386001,50.580418,8.664761,2024-11-06T14:56:01,50.592037,8.66542,2024-11-06T15:05:01,539.783911,2024-11-06,1663.4120000000003,"[[50.5803143, 8.6646412], [50.5803588, 8.6645584], [50.5804093, 8.6644626], [50.5806046, 8.6646893], [50.5809885, 8.6651658], [50.5811638, 8.6653758], [50.5811853, 8.6654033], [50.5812321, 8.6654611], [50.5813834, 8.6657269], [50.5818566, 8.6662279], [50.5823711, 8.6668991], [50.5826248, 8.6672063], [50.5827557, 8.6673703], [50.5830158, 8.6676962], [50.583821, 8.6687239], [50.5838414, 8.6687818], [50.5840826, 8.6684659], [50.5842368, 8.668286], [50.5842831, 8.6682291], [50.5846349, 8.6678985], [50.5847717, 8.6678464], [50.5850224, 8.6679114], [50.585262, 8.6679815], [50.5857668, 8.6681536], [50.5863, 8.6683147], [50.5874101, 8.6689845], [50.5874495, 8.6688434], [50.5876091, 8.6681924], [50.5877286, 8.6681207], [50.5878556, 8.6675971], [50.5879698, 8.6672374], [50.5884261, 8.665856], [50.5887763, 8.6647345], [50.5888131, 8.6646118], [50.5888381, 8.664512], [50.5891011, 8.6647186], [50.5895365, 8.6650545], [50.5900081, 8.6651087], [50.5901529, 8.6651139], [50.5909237, 8.6651167], [50.5910954, 8.6651439], [50.5912992, 8.6652482], [50.5920505, 8.665411]]"
2024-11-06,386002,50.571078,8.674602,2024-11-06T14:02:04,50.581435,8.696279,2024-11-06T14:14:02,717.399864,2024-11-06,2623.897,"[[50.5710631, 8.6746782], [50.5710217, 8.6744855], [50.5709919, 8.6743258], [50.570885, 8.6743751], [50.5708112, 8.6742294], [50.5708953, 8.6749198], [50.5715946, 8.6753288], [50.572348, 8.6759926], [50.5726806, 8.6762106], [50.5733049, 8.6773183], [50.5740207, 8.6776203], [50.574501, 8.6766597], [50.5746772, 8.6768856], [50.5753613, 8.677799], [50.57573, 8.6782892], [50.5758148, 8.6783891], [50.5760879, 8.6786648], [50.5764677, 8.6790252], [50.5770407, 8.6795942], [50.5771154, 8.6796681], [50.5772119, 8.6797605], [50.5772331, 8.6797818], [50.5773853, 8.6799337], [50.5778107, 8.6803512], [50.5779382, 8.6807034], [50.5781122, 8.681622], [50.5786238, 8.6832385], [50.5786777, 8.6839793], [50.5780109, 8.688159], [50.5780663, 8.6896206], [50.57847, 8.6906104], [50.5786243, 8.6908591], [50.5790655, 8.6923956], [50.5791626, 8.6933042], [50.5793559, 8.6939141], [50.5790022, 8.6941747], [50.5788465, 8.6943045], [50.580401, 8.6967824], [50.5806039, 8.6963674], [50.5810883, 8.6971157], [50.5811217, 8.6971588], [50.5811703, 8.6972143], [50.5812802, 8.6969072], [50.5813066, 8.6968359], [50.5814887, 8.696352], [50.5814097, 8.6962764]]"
2024-11-06,386002,50.581435,8.696279,2024-11-06T14:28:01,50.587148,8.682158,2024-11-06T14:38:01,600.338526,2024-11-06,1319.76,"[[50.5814097, 8.6962764], [50.5814887, 8.696352], [50.5815531, 8.6961616], [50.5816152, 8.6959889], [50.5820043, 8.6949846], [50.582137, 8.6946196], [50.582265, 8.6942684], [50.5826306, 8.6933004], [50.5827223, 8.6930739], [50.5828022, 8.6928795], [50.5828754, 8.6926883], [50.5829627, 8.6923131], [50.583003, 8.691928], [50.5830403, 8.6914006], [50.5830924, 8.6907078], [50.5831261, 8.6903731], [50.5832076, 8.6895145], [50.5833016, 8.6883219], [50.5836426, 8.6883932], [50.5839082, 8.6884313], [50.5839898, 8.6883888], [50.5843856, 8.6881957], [50.5852377, 8.6877945], [50.5854816, 8.6873272], [50.5855295, 8.6872254], [50.5857929, 8.6866242], [50.5859803, 8.6861956], [50.5860688, 8.6860159], [50.5861613, 8.6858299], [50.5863335, 8.6854552], [50.5864465, 8.6852216], [50.5866502, 8.6848022], [50.5867307, 8.6846631], [50.5868895, 8.6844397], [50.586934, 8.6843882], [50.5870742, 8.6842259], [50.5874052, 8.6839243], [50.58723, 8.6833199], [50.587203, 8.6832234], [50.5870861, 8.682822], [50.5870201, 8.6825828]]"
2024-11-06,386002,50.587148,8.682158,2024-11-06T14:41:01,50.585137,8.671877,2024-11-06T14:46:01,300.368319,2024-11-06,1020.2550000000001,"[[50.5870201, 8.6825828], [50.5868284, 8.6819172], [50.5867193, 8.6815294], [50.5865831, 8.6814821], [50.5865149, 8.6813607], [50.5865373, 8.6811759], [50.5866231, 8.6809384], [50.5865674, 8.6809282], [50.586053, 8.680535], [50.585332, 8.6797878], [50.585154, 8.6796028], [50.584703, 8.679125], [50.5840833, 8.6783053], [50.584547, 8.6777738], [50.5846823, 8.6776249], [50.5847788, 8.6775196], [50.5849701, 8.6773071], [50.5847823, 8.6770899], [50.5848877, 8.676589], [50.5849614, 8.6761298], [50.5850044, 8.6758527], [50.5850704, 8.6753049], [50.5850804, 8.6751558], [50.5850767, 8.6749411], [50.5850595, 8.6742324], [50.5850971, 8.6737343], [50.5851279, 8.6732111], [50.5853107, 8.6723871], [50.5850526, 8.6718473]]"
